"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20220112,20221210
2,1,1,1,1,1,0,0,20220112,20221210
3,1,1,1,1,1,1,0,20220112,20221210
4,1,1,1,1,1,0,1,20220112,20221210
5,0,0,0,0,0,1,1,20220112,20221210
6,0,0,0,0,0,0,1,20220112,20221210
7,1,1,1,1,1,1,1,20220112,20221210
8,0,0,0,0,0,0,0,20220112,20221210
9,0,0,0,0,0,1,0,20220112,20221210
10,0,0,0,0,0,1,0,20220112,20221210
11,1,1,1,1,1,1,0,20220112,20221210
12,0,0,0,0,0,0,0,20220112,20221210
13,0,0,0,0,0,0,1,20220112,20221210
14,0,0,0,0,0,1,0,20220112,20221210
15,0,0,0,0,0,0,0,20220112,20221210
16,1,1,1,1,1,0,0,20220112,20221210
17,0,0,0,0,0,0,0,20220112,20221210
18,0,0,0,0,1,1,0,20220112,20221210
19,1,1,1,1,1,0,0,20220112,20221210
20,1,1,1,1,1,1,0,20220112,20221210
21,0,0,0,0,0,0,1,20220112,20221210
22,0,0,0,0,0,1,0,20220112,20221210
23,0,0,0,0,0,1,1,20220112,20221210
24,1,1,1,1,1,1,1,20220112,20221210
25,0,0,0,0,0,0,0,20220112,20221210
26,0,0,0,0,0,0,0,20220112,20221210
27,0,0,0,0,0,0,0,20220112,20221210
28,0,0,0,0,0,0,0,20220112,20221210
29,0,0,0,0,0,0,0,20220112,20221210
30,0,0,0,0,0,0,0,20220112,20221210
31,1,1,1,1,1,0,0,20220112,20221210
32,0,0,0,0,0,0,0,20220112,20221210
33,0,0,0,0,0,0,0,20220112,20221210
34,0,0,0,0,0,0,1,20220112,20221210
35,0,0,0,0,0,0,0,20220112,20221210
36,0,0,0,0,0,0,0,20220112,20221210
37,0,0,0,0,0,0,0,20220112,20221210
38,1,1,1,1,1,0,0,20220112,20221210
39,0,0,0,0,0,1,0,20220112,20221210
40,1,1,1,1,1,1,1,20220112,20221210
41,1,1,1,1,1,0,0,20220112,20221210
42,0,0,0,0,0,0,1,20220112,20221210
43,1,1,1,1,1,0,1,20220112,20221210
44,0,0,0,0,0,1,0,20220112,20221210
45,1,1,1,1,1,0,0,20220112,20221210
46,0,0,0,0,0,1,0,20220112,20221210
47,0,0,0,0,0,0,1,20220112,20221210
48,0,0,0,0,0,0,0,20220112,20221210
49,0,0,0,0,0,0,0,20220112,20221210
50,0,0,0,0,0,0,0,20220112,20221210
51,1,1,1,1,1,0,0,20220112,20221210
52,0,0,0,0,0,1,0,20220112,20221210
53,0,0,0,0,0,0,1,20220112,20221210
54,0,0,0,0,0,0,0,20220112,20221210
55,0,0,0,0,0,0,0,20220112,20221210
56,0,0,0,0,0,0,0,20220112,20221210
57,1,1,1,1,1,1,0,20220112,20221210
58,1,1,1,1,1,1,1,20220112,20221210
59,0,0,0,0,1,1,0,20220112,20221210
60,0,0,0,0,0,0,0,20220112,20221210
61,0,0,0,0,0,0,0,20220112,20221210
62,0,0,0,0,0,0,0,20220112,20221210
63,0,0,0,0,0,1,0,20220112,20221210
64,0,0,0,0,0,0,1,20220112,20221210
65,1,1,1,1,1,0,0,20220112,20221210
66,0,0,0,0,0,0,0,20220112,20221210
67,0,0,0,0,0,0,0,20220112,20221210
68,1,1,1,1,0,0,1,20220112,20221210
69,1,1,1,1,0,0,0,20220112,20221210
70,0,0,0,0,1,1,0,20220112,20221210
71,1,1,1,1,1,0,0,20220112,20221210
72,0,0,0,0,0,0,0,20220112,20221210
73,0,0,0,0,0,0,1,20220112,20221210
74,0,0,0,0,0,0,0,20220112,20221210
75,0,0,0,0,0,1,0,20220112,20221210
76,0,0,0,0,0,0,0,20220112,20221210
77,1,1,1,1,1,1,1,20220112,20221210
78,0,0,0,0,0,0,0,20220112,20221210
79,0,0,0,0,1,1,0,20220112,20221210
80,0,0,0,0,0,0,0,20220112,20221210
81,0,0,0,0,0,0,0,20220112,20221210
82,0,0,0,0,0,0,0,20220112,20221210
83,0,0,0,0,0,0,0,20220112,20221210
84,0,0,0,0,0,1,1,20220112,20221210
85,0,0,0,0,0,0,0,20220112,20221210
86,1,1,1,1,0,0,1,20220112,20221210
87,0,0,0,0,0,0,0,20220112,20221210
88,1,1,1,1,1,0,0,20220112,20221210
89,0,0,0,0,0,0,0,20220112,20221210
90,1,1,1,1,1,0,0,20220112,20221210
91,0,0,0,0,0,0,0,20220112,20221210
92,1,1,1,1,1,1,1,20220112,20221210
93,0,0,0,0,0,1,1,20220112,20221210
94,1,1,1,1,1,1,1,20220112,20221210
95,0,0,0,0,0,0,0,20220112,20221210
96,0,0,0,0,0,0,0,20220112,20221210
97,0,0,0,0,0,0,1,20220112,20221210
98,1,1,1,1,1,0,0,20220112,20221210
99,0,0,0,0,0,1,0,20220112,20221210
100,0,0,0,0,0,1,1,20220112,20221210
101,1,1,1,1,1,0,0,20220112,20221210
102,0,0,0,0,0,0,0,20220112,20221210
103,0,0,0,0,1,0,0,20220112,20221210
104,0,0,0,0,1,0,0,20220112,20221210
105,1,1,1,1,1,0,0,20220112,20221210
106,0,0,0,0,0,0,0,20220112,20221210
107,0,0,0,0,0,1,1,20220112,20221210
108,0,0,0,0,0,0,0,20220112,20221210
109,0,0,0,0,0,0,0,20220112,20221210
110,0,0,0,0,0,0,0,20220112,20221210
111,1,1,1,1,1,0,0,20220112,20221210
112,0,0,0,0,0,1,0,20220112,20221210
113,0,0,0,0,0,0,0,20220112,20221210
114,0,0,0,0,0,0,0,20220112,20221210
115,1,1,1,1,1,0,0,20220112,20221210
116,1,1,1,1,0,0,0,20220112,20221210
117,1,1,1,1,0,0,0,20220112,20221210
118,0,0,0,0,0,1,0,20220112,20221210
119,0,0,0,0,0,0,1,20220112,20221210
120,1,1,1,1,1,1,1,20220112,20221210
121,0,0,0,0,0,0,0,20220112,20221210
122,0,0,0,0,0,0,0,20220112,20221210
123,0,0,0,0,0,0,0,20220112,20221210
124,0,0,0,0,0,1,1,20220112,20221210
125,0,0,0,0,1,0,0,20220112,20221210
126,0,0,0,0,0,0,0,20220112,20221210
127,0,0,0,0,0,0,0,20220112,20221210
128,1,1,1,1,1,0,0,20220112,20221210
129,0,0,0,0,0,0,0,20220112,20221210
130,0,0,0,0,1,0,0,20220112,20221210
131,1,1,1,1,1,0,0,20220112,20221210
132,0,0,0,0,0,1,0,20220112,20221210
133,0,0,0,0,0,0,0,20220112,20221210
134,1,1,1,1,1,1,0,20220112,20221210
135,1,1,1,1,0,0,1,20220112,20221210
136,0,0,0,0,0,0,0,20220112,20221210
137,1,1,1,1,0,0,1,20220112,20221210
138,0,0,0,0,0,0,0,20220112,20221210
139,1,1,1,1,1,1,1,20220112,20221210
140,1,1,1,1,1,0,0,20220112,20221210
141,0,0,0,0,0,0,0,20220112,20221210
142,0,0,0,0,0,1,0,20220112,20221210
143,0,0,0,0,0,1,1,20220112,20221210
144,0,0,0,0,0,0,1,20220112,20221210
145,0,0,0,0,0,0,1,20220112,20221210
146,0,0,0,0,0,1,1,20220112,20221210
147,0,0,0,0,0,1,0,20220112,20221210
148,0,0,0,0,0,0,1,20220112,20221210
149,0,0,0,0,0,1,0,20220112,20221210
150,0,0,0,0,0,0,1,20220112,20221210
151,0,0,0,0,0,0,0,20220112,20221210
152,0,0,0,0,0,1,1,20220112,20221210
153,0,0,0,0,0,0,1,20220112,20221210
154,0,0,0,0,0,1,0,20220112,20221210
155,0,0,0,0,0,0,1,20220112,20221210
156,0,0,0,0,0,1,0,20220112,20221210
157,0,0,0,0,0,0,0,20220112,20221210
158,0,0,0,0,0,0,0,20220112,20221210
159,0,0,0,0,0,0,0,20220112,20221210
160,0,0,0,0,0,0,0,20220112,20221210
161,1,1,1,1,1,0,0,20220112,20221210
162,1,1,1,1,1,0,0,20220112,20221210
163,0,0,0,0,0,0,0,20220112,20221210
164,1,1,1,1,1,0,0,20220112,20221210
165,1,1,1,1,1,0,0,20220112,20221210
166,1,1,1,1,1,0,0,20220112,20221210
167,0,0,0,0,1,0,0,20220112,20221210
168,1,1,1,1,0,0,0,20220112,20221210
169,0,0,0,0,0,0,0,20220112,20221210
170,1,1,1,1,1,0,0,20220112,20221210
171,1,1,1,1,0,0,0,20220112,20221210
172,1,1,1,1,1,0,1,20220112,20221210
173,0,0,0,0,0,1,1,20220112,20221210
174,1,1,1,1,1,1,1,20220112,20221210
175,0,0,0,0,1,1,0,20220112,20221210
176,1,1,1,1,1,1,1,20220112,20221210
177,1,1,1,1,1,0,0,20220112,20221210
178,0,0,0,0,0,0,0,20220112,20221210
179,1,1,1,1,1,0,0,20220112,20221210
180,0,0,0,0,0,0,1,20220112,20221210
181,0,0,0,0,0,1,0,20220112,20221210
182,1,1,1,1,1,1,0,20220112,20221210
183,0,0,0,0,0,1,1,20220112,20221210
184,0,0,0,0,0,0,0,20220112,20221210
185,0,0,0,0,0,0,0,20220112,20221210
186,0,0,0,0,0,0,0,20220112,20221210
187,0,0,0,0,0,0,0,20220112,20221210
188,0,0,0,0,0,0,0,20220112,20221210
189,0,0,0,0,0,0,0,20220112,20221210
190,1,1,1,1,1,0,0,20220112,20221210
191,1,1,1,1,1,0,0,20220112,20221210
192,0,0,0,0,0,0,0,20220112,20221210
193,1,1,1,1,1,1,0,20220112,20221210
194,1,1,1,1,1,1,1,20220112,20221210
195,0,0,0,0,0,0,0,20220112,20221210
196,1,1,1,1,1,0,0,20220112,20221210
197,1,1,1,1,0,1,1,20220112,20221210
198,0,0,0,0,1,0,0,20220112,20221210
199,0,0,0,0,0,1,0,20220112,20221210
200,1,1,1,1,1,1,1,20220112,20221210
201,1,1,1,1,1,0,1,20220112,20221210
202,0,0,0,0,1,1,0,20220112,20221210
203,0,0,0,0,1,1,0,20220112,20221210
204,0,0,0,0,0,0,1,20220112,20221210
205,0,0,0,0,0,0,0,20220112,20221210
206,1,1,1,1,1,1,0,20220112,20221210
207,1,1,1,1,1,0,1,20220112,20221210
208,1,1,1,1,0,0,1,20220112,20221210
209,0,0,0,0,1,1,0,20220112,20221210
210,0,0,0,0,0,0,0,20220112,20221210
211,0,0,0,0,0,0,0,20220112,20221210
212,0,0,0,0,0,0,0,20220112,20221210
213,0,0,0,0,0,0,0,20220112,20221210
214,0,0,0,0,0,0,0,20220112,20221210
215,0,0,0,0,0,0,0,20220112,20221210
216,0,0,0,0,0,0,0,20220112,20221210
217,0,0,0,0,0,0,0,20220112,20221210
218,0,0,0,0,0,0,0,20220112,20221210
219,0,0,0,0,0,0,1,20220112,20221210
220,1,1,1,1,1,1,0,20220112,20221210
221,1,1,1,1,1,1,1,20220112,20221210
222,1,1,1,1,1,1,1,20220112,20221210
223,1,1,1,1,0,1,1,20220112,20221210
224,1,1,1,1,1,1,1,20220112,20221210
225,1,1,1,1,1,1,1,20220112,20221210
226,0,0,0,0,0,0,0,20220112,20221210
227,1,1,1,1,1,1,1,20220112,20221210
228,0,0,0,0,0,0,0,20220112,20221210
229,1,1,1,1,1,1,1,20220112,20221210
230,0,0,0,0,1,0,0,20220112,20221210
231,1,1,1,1,0,0,0,20220112,20221210
232,0,0,0,0,1,0,0,20220112,20221210
233,0,0,0,0,0,1,1,20220112,20221210
234,1,1,1,0,0,0,0,20220112,20221210
235,1,0,0,0,0,0,0,20220112,20221210
236,0,1,0,0,0,0,0,20220112,20221210
237,0,0,1,0,0,0,0,20220112,20221210
238,0,0,0,1,0,0,0,20220112,20221210
239,0,1,1,1,0,0,0,20220112,20221210
240,1,1,1,0,1,0,0,20220112,20221210
241,1,1,1,1,0,0,0,20220112,20221210
242,0,0,0,0,0,0,0,20220112,20221210
243,0,0,0,0,0,0,0,20220112,20221210
244,0,0,0,0,0,0,0,20220112,20221210
245,0,0,0,0,0,0,0,20220112,20221210
246,0,0,0,0,0,0,0,20220112,20221210
247,0,0,0,0,0,1,0,20220112,20221210
248,0,0,0,0,0,0,0,20220112,20221210
249,1,1,0,0,0,0,0,20220112,20221210
250,0,1,0,0,1,0,0,20220112,20221210
251,1,0,1,1,0,0,0,20220112,20221210
252,1,1,1,1,1,1,0,20220112,20221210
253,1,1,0,1,1,0,0,20220112,20221210
254,1,0,0,0,1,0,0,20220112,20221210
255,1,0,1,0,1,0,0,20220112,20221210
256,0,0,0,0,0,0,0,20220112,20221210
257,0,0,0,0,0,0,0,20220112,20221210
258,0,0,0,0,0,0,0,20220112,20221210
259,0,0,0,0,0,0,0,20220112,20221210
260,0,0,0,0,0,0,1,20220112,20221210
261,0,0,0,0,0,0,0,20220112,20221210
262,0,0,0,0,0,0,0,20220112,20221210
263,0,0,0,0,0,0,0,20220112,20221210
264,0,0,0,0,0,0,0,20220112,20221210
265,0,0,0,0,0,0,0,20220112,20221210
266,0,0,0,0,0,0,1,20220112,20221210
267,0,0,0,0,0,0,0,20220112,20221210
268,0,0,0,0,0,0,0,20220112,20221210
269,0,0,0,0,0,0,0,20220112,20221210
270,0,0,0,0,0,0,0,20220112,20221210
271,0,0,0,0,0,0,0,20220112,20221210
272,0,0,0,0,0,0,0,20220112,20221210
273,0,0,0,0,0,0,0,20220112,20221210
274,0,0,0,0,0,0,0,20220112,20221210
275,0,0,0,0,0,0,0,20220112,20221210
276,0,0,0,0,0,0,0,20220112,20221210
277,0,0,0,0,0,0,0,20220112,20221210
278,0,0,0,0,0,0,0,20220112,20221210
279,0,0,0,0,0,0,0,20220112,20221210
280,1,1,1,1,1,1,1,20220112,20221210
281,0,0,0,0,0,0,0,20220112,20221210
282,1,1,1,1,1,0,0,20220112,20221210
283,0,0,0,0,0,1,1,20220112,20221210
284,1,1,1,1,1,1,0,20220112,20221210
285,0,0,0,0,0,0,1,20220112,20221210
286,1,1,1,1,1,0,0,20220112,20221210
287,0,0,0,0,0,1,1,20220112,20221210
288,1,1,1,1,1,1,1,20220112,20221210
289,0,0,0,0,0,0,0,20220112,20221210
290,0,0,0,0,0,0,0,20220112,20221210
291,1,1,1,1,1,1,0,20220112,20221210
292,0,0,0,0,0,0,1,20220112,20221210
293,1,1,1,1,1,1,0,20220112,20221210
294,0,0,0,0,0,1,1,20220112,20221210
295,0,0,0,0,1,1,1,20220112,20221210
296,0,0,0,0,0,0,0,20220112,20221210
297,1,1,1,1,1,1,1,20220112,20221210
298,1,1,1,1,1,0,0,20220112,20221210
299,0,0,0,0,1,1,0,20220112,20221210
300,0,0,0,0,0,0,0,20220112,20221210
301,0,0,0,0,0,0,0,20220112,20221210
302,1,1,1,1,0,0,1,20220112,20221210
303,0,0,0,0,0,0,0,20220112,20221210
304,0,0,0,0,0,0,0,20220112,20221210
305,1,1,1,1,1,1,1,20220112,20221210
306,0,0,0,0,0,0,0,20220112,20221210
307,0,0,0,0,0,0,0,20220112,20221210
308,0,0,0,0,0,1,0,20220112,20221210
309,0,0,0,0,0,1,1,20220112,20221210
310,0,0,0,0,0,0,0,20220112,20221210
311,0,0,0,0,0,0,0,20220112,20221210
312,1,1,1,1,1,1,1,20220112,20221210
313,0,0,0,0,0,0,0,20220112,20221210
314,1,1,1,1,1,1,0,20220112,20221210
315,1,1,1,1,1,0,0,20220112,20221210
316,1,1,1,1,1,1,0,20220112,20221210
317,1,1,1,1,1,1,1,20220112,20221210
318,1,1,1,1,1,1,1,20220112,20221210
319,1,1,1,1,1,1,1,20220112,20221210
320,1,1,1,1,1,1,1,20220112,20221210
321,1,1,1,1,1,1,1,20220112,20221210
322,1,1,1,1,1,1,1,20220112,20221210
323,1,1,1,1,1,1,0,20220112,20221210
324,1,1,1,1,0,0,0,20220112,20221210
325,0,0,0,0,1,0,0,20220112,20221210
326,1,1,1,1,0,0,1,20220112,20221210
327,0,0,0,0,0,1,0,20220112,20221210
328,0,0,0,0,0,1,1,20220112,20221210
329,1,1,1,1,1,1,1,20220112,20221210
330,0,0,0,0,0,0,0,20220112,20221210
331,0,0,0,0,0,0,0,20220112,20221210
332,0,0,0,0,0,0,0,20220112,20221210
333,1,1,1,1,1,1,1,20220112,20221210
334,1,1,1,1,1,1,1,20220112,20221210
335,1,1,1,1,1,0,0,20220112,20221210
336,0,0,0,0,1,1,0,20220112,20221210
337,1,1,1,1,1,1,1,20220112,20221210
338,0,0,0,0,0,0,0,20220112,20221210
339,0,0,0,0,0,0,0,20220112,20221210
340,1,1,1,1,1,1,1,20220112,20221210
341,0,0,0,0,0,0,0,20220112,20221210
