Seconds;Number
2;1
4;2
7;3
16;4
18;5
20;7
25;8
26;10
28;11
29;13
36;14
42;15
57;16
60;17
62;19
63;22
64;28
65;29
66;32
67;34
68;37
69;39
70;41
71;42
72;43
73;44
74;45
75;47
76;48
77;49
78;53
80;58
81;59
82;60
84;61
85;62
88;63
89;64
90;65
93;67
94;68
96;70
97;73
98;74
100;75
104;76
105;78
106;79
110;80
111;81
112;82
113;84
114;85
115;86
117;89
118;91
119;92
120;93
121;94
123;96
124;97
125;98
126;100
127;102
128;103
130;105
131;106
132;109
133;112
135;114
136;115
137;116
138;117
139;120
140;121
141;124
142;126
144;127
145;128
146;131
147;132
148;133
149;136
150;140
151;142
153;143
156;145
157;148
158;151
159;153
160;156
161;159
162;160
163;163
164;167
165;171
166;172
167;176
168;177
169;180
170;182
171;184
172;185
173;186
174;187
175;188
176;190
177;193
178;195
180;196
181;198
182;200
183;202
184;203
185;205
186;206
187;207
188;211
190;212
191;215
192;216
193;218
194;219
195;222
196;223
197;225
198;229
199;231
200;237
201;239
202;240
203;242
204;243
205;244
206;246
207;247
208;249
209;254
210;255
211;258
212;260
213;261
215;265
218;268
219;270
220;273
223;275
224;276
225;278
228;279
229;281
230;282
231;285
232;290
233;292
234;293
235;294
236;295
238;296
239;299
241;304
242;306
243;307
244;309
245;311
246;316
247;317
248;319
249;320
250;321
251;324
252;325
253;329
254;331
255;332
256;334
257;339
259;341
260;342
261;345
262;348
263;351
264;354
265;355
266;357
267;358
269;361
270;363
271;365
272;367
273;370
274;373
275;374
276;378
277;380
278;382
279;387
280;392
281;393
282;397
283;401
284;403
285;405
286;413
287;414
288;418
289;420
290;422
291;423
292;426
293;429
294;430
295;435
296;439
297;443
298;446
300;451
301;455
302;461
303;462
304;465
305;466
306;469
307;475
308;478
309;480
310;484
311;488
312;489
313;495
314;498
315;500
316;505
317;508
318;511
319;514
320;516
321;518
322;519
323;520
325;524
326;526
327;527
328;531
330;533
331;537
332;541
333;542
334;546
336;547
337;548
338;552
339;553
340;557
341;559
342;560
344;562
345;567
346;569
347;571
349;576
350;581
351;583
352;585
353;587
354;593
355;596
356;599
357;602
358;603
359;605
360;607
361;612
362;614
363;616
366;617
367;619
368;621
369;622
370;624
372;626
373;628
374;630
375;632
376;634
377;637
378;640
379;644
380;650
381;654
382;655
383;659
384;661
387;662
388;663
389;664
390;665
391;666
394;669
395;670
396;674
397;675
398;677
399;679
402;681
403;682
404;684
405;686
407;688
408;689
409;691
410;693
411;694
412;696
413;698
416;701
417;704
418;706
419;708
420;712
421;713
422;715
423;716
425;717
426;718
427;720
428;721
429;724
430;726
432;727
433;731
435;734
436;736
439;738
440;739
443;740
444;741
447;743
449;745
450;747
451;748
452;749
453;750
458;752
459;754
466;756
468;758
470;759
471;760
474;761
476;762
481;766
483;768
484;769
488;771
491;772
492;773
496;774
497;775
500;776
503;777
506;778
511;779
518;780
519;781
522;782
525;783
526;784
527;785
529;786
530;787
532;789
533;790
535;791
536;793
538;795
541;797
543;799
545;800
546;801
547;802
552;803
557;804
558;805
559;806
560;808
562;810
564;811
565;812
567;813
568;814
569;815
574;818
576;819
580;820
581;822
582;823
583;824
590;826
591;827
598;829
599;830
600;831
607;833
608;834
609;837
613;838
614;839
619;840
620;841
622;842
631;843
632;844
636;845
640;846
641;847
658;849
669;850
673;852
675;854
679;855
680;856
682;857
683;858
684;859
685;862
689;863
692;864
695;865
696;869
697;871
701;873
702;874
704;877
707;878
708;879
711;880
713;881
715;883
716;885
717;886
718;887
722;889
727;890
729;891
732;892
733;894
734;895
735;897
736;898
737;899
741;900
743;903
752;904
755;905
759;906
762;908
763;909
767;910
772;911
773;913
774;914
775;915
777;916
778;917
780;918
781;919
783;920
784;921
787;922
789;926
790;927
793;928
794;929
795;930
797;931
799;932
819;933
821;934
827;935
829;936
836;938
838;939
840;940
848;942
849;945
850;946
853;948
854;949
855;950
857;951
858;952
861;953
864;954
865;955
867;956
869;957
870;958
871;959
872;960
874;961
875;963
879;964
888;965
889;966
898;967
899;968
902;969
903;970
907;972
909;973
911;974
915;975
916;976
919;977
920;979
921;981
922;982
925;983
928;984
930;985
931;986
934;987
942;991
943;993
944;994
945;997
946;1001
948;1003
950;1004
951;1005
952;1008
955;1011
957;1012
959;1014
962;1015
963;1016
964;1018
966;1020
969;1021
971;1022
981;1023
983;1025
987;1026
988;1027
991;1029
995;1030
998;1031
999;1033
1000;1034
1002;1036
1003;1037
1006;1039
1008;1041
1009;1042
1010;1043
1011;1044
1012;1045
1014;1046
1017;1049
1019;1050
1021;1051
1022;1052
1023;1053
1025;1054
1026;1056
1028;1057
1030;1058
1031;1060
1033;1061
1040;1062
1046;1065
1047;1066
1048;1068
1055;1069
1061;1070
1066;1071
1070;1072
1071;1073
1074;1074
1076;1075
1080;1076
1087;1077
1088;1078
1089;1079
1093;1080
1098;1081
1099;1082
1108;1083
1111;1084
1118;1085
1123;1086
1127;1088
1137;1089
1139;1090
