Seconds;Number
941;2
986;3
987;4
1002;11
1040;12
1042;15
1044;16
1045;21
1046;25
1047;27
1053;30
1055;33
1062;34
1087;35
1100;36
1107;38
1111;39
1114;40
1117;41
1122;43
1123;45
1126;46
1128;47
1131;49
1135;50
1136;52
1139;53
1141;55
1142;56
1148;57
1149;61
1155;63
1161;64
1163;65
1167;66
1171;67
1172;68
1173;70
1187;71
1193;85
1196;86
1207;87
1210;98
1214;99
1218;100
1219;102
1224;103
1227;104
1228;106
1229;107
1233;108
1234;109
1235;110
1238;111
1239;113
1240;117
1241;118
1248;119
1253;121
1254;123
1256;129
1274;130
1276;135
